YES;NO
FERRANTI Donatella;FEDRIGA Massimiliano
FERRARI Alan;FERRARESI Vittorio
FERRO Andrea;FICO Roberto
FIANO Emanuele;FONTANA Gregorio
FIORIO Massimo;FRACCARO Riccardo
FIORONI Giuseppe;FRUSONE Luca
FONTANA Cinzia Maria;GAGNARLI Chiara
FRAGOMELI Gian Mario;GALLINELLA Filippo
FRANCESCHINI Dario;GALLO Luigi
FREGOLENT Silvia;GARNERO SANTANCHE' Daniela
FUSILLI Gianluca;GELMINI Mariastella
GADDA Maria Chiara;GENOVESE Francantonio
GALLI Giampaolo;GIACOMONI Sestino
GALPERTI Guido;GIAMMANCO Gabriella
GANDOLFI Paolo;GIORDANO Silvia
GARAVINI Laura;GIORGETTI Giancarlo
GAROFANI Francesco Saverio;GIORGETTI Alberto
GASPARINI Daniela;GRANDE Marta
GELLI Federico;GRILLO Giulia
GENTILONI SILVERI Paolo;GRIMOLDI Paolo
GHIZZONI Manuela;GUIDESI Guido
GIACHETTI Roberto;GULLO Maria Tindara
GIACOBBE Anna;INVERNIZZI Cristian
GIACOMELLI Antonello;L'ABBATE Giuseppe
GINATO Federico;LA RUSSA Ignazio
GINEFRA Dario;LABOCCETTA Amedeo
GINOBLE Tommaso;LABRIOLA Vincenza
GIORGIS Andrea;LAFFRANCO Pietro
GITTI Gregorio;LIUZZI Mirella
GIULIANI Fabrizia;LO MONTE Carmelo
GIULIETTI Giampiero;LOMBARDI Roberta
GNECCHI Maria Luisa;LONGO Piero
GOZI Sandro;LOREFICE Marialucia
GRASSI Gero;LUPO Loredana
GRIBAUDO Chiara;MAIETTA Pasquale
GUERINI Giuseppe;MANTERO Matteo
GUERINI Lorenzo;MARTI Roberto
GUERRA Mauro;MARTINELLI Marco
GUTGELD Itzhak Yoram;MARTINO Antonio
IACONO Maria;MARZANA Maria
IANNUZZI Tino;MELONI Giorgia
IMPEGNO Leonardo;MICILLO Salvatore
INCERTI Antonella;MILANATO Lorena
IORI Vanna;MINARDO Antonino
LA MARCA Francesca;MOLTENI Nicola
LA TERZA Valentina;MURGIA Bruno
LATTUCA Enzo;NASTRI Gaetano
LAURICELLA Giuseppe;NESCI Dalila
LAVAGNO Fabio;NISSOLI Angela Rosaria Detta Fucsia
LENZI Donata;OCCHIUTO Roberto
LIBRANDI Gianfranco;PAGANO Alessandro
LODOLINI Emanuele;PALESE Rocco
LOSACCO Alberto;PALMIERI Antonio
LOTTI Luca;PALMIZIO Elio Massimo
MADIA Maria Anna;PARENTELA Paolo
MAESTRI Patrizia;PESCO Daniele
MAGORNO Ernesto;PETRAROLI Cosimo
MALISANI Gianna;PETRENGA Giovanna
MALPEZZI Simona Flavia;PICCHI Guglielmo
MANCIULLI Andrea;PINI Gianluca
MANFREDI Massimiliano;PISANO Girolamo
MANZI Irene;POLIDORI Catia
MARANTELLI Daniele;POLVERINI Renata
MARCHETTI Marco;PRESTIGIACOMO Stefania
MARCHI Maino;RAMPELLI Fabio
MARIANI Raffaella;RAVETTO Laura
MARIANO Elisa;RIZZETTO Walter
MARROCU Siro;RIZZO Gianluca
MARRONI Umberto;ROMANO Paolo Nicolò
MARTELLA Andrea;ROMELE Giuseppe
MASSA Federico;RONDINI Marco
MATTIELLO Davide;ROTONDI Gianfranco
MAURI Matteo;RUOCCO Carla
MAZZOLI Alessandro;RUSSO Paolo
MELILLI Fabio;SALTAMARTINI Barbara
MELONI Marco;SAMMARCO Gianfranco
META Michele Pompeo;SANTELLI Jole
MICCOLI Marco;SARRO Carlo
MIGLIORE Gennaro;SARTI Giulia
MINNUCCI Emiliano;SAVINO Sandra
MIOTTO Anna Margherita;SAVINO Elvira
MISIANI Antonio;SCAGLIUSI Emanuele
MONACO Francesco;SIBILIA Carlo
MONGIELLO Colomba;SIMONETTI Roberto
MONTRONI Daniele;SISTO Francesco Paolo
MORANI Alessia;SORIAL Girgis Giorgio
MORASSUT Roberto;SPADONI Maria Edera
MORETTO Sara;SPESSOTTO Arianna
MOSCATT Antonino;SQUERI Luca
MURA Romina;TAGLIALATELA Marcello
NACCARATO Alessandro;TANTILLO Giulio
NARDI Martina;TERZONI Patrizia
NARDUOLO Giulia;TOFALO Angelo
NICOLETTI Michele;TONINELLI Danilo
OLIVERIO Nicodemo Nazzareno;TOTARO Achille
ORFINI Matteo;TRIPIEDI Davide
ORLANDO Andrea;VACCA Gianluca
PAGANI Alberto;VALENTE Simone
PALLADINO Giovanni;VALENTINI Valentino
PALMA Giovanna;VALLASCAS Andrea
PARIS Valentina;VELLA Paolo
PARRINI Dario;VIGNAROLI Stefano
PATRIARCA Edoardo;VILLAROSA Alessio
PELILLO Michele;VITO Elio
PELUFFO Vinicio;ZOLEZZI Alberto
PES Caterina;
PETRINI Paolo;
PIAZZONI Ileana;
PICCIONE Teresa;
PICCOLI NARDELLI Flavia;
PICCOLO Salvatore;
PILOZZI Nazzareno;
PINI Giuditta;
PINNA Paola;
POLLASTRINI Barbara;
PORTA Fabio;
PORTAS Giacomo Antonio;
PREZIOSI Ernesto;
PRINA Francesco;
QUARTAPELLE PROCOPIO Lia;
RACITI Fausto;
RAMPI Roberto;
REALACCI Ermete;
RIBAUDO Francesco;
RICHETTI Matteo;
RIGONI Andrea;
ROCCHI Maria Grazia;
ROMANINI Giuseppe;
ROMANO Andrea;
ROSATO Ettore;
ROSSI Paolo;
ROSSOMANDO Anna;
ROSTELLATO Gessica;
ROTTA Alessia;
RUBINATO Simonetta;
RUGHETTI Angelo;
SANGA Giovanni;
SANI Luca;
SANNA Giovanna;
SANNA Francesco;
SBROLLINI Daniela;
SCALFAROTTO Ivan;
SCANU Gian Piero;
SCHIRÒ Gea;
SCUVERA Chiara;
SENALDI Angelo;
SERENI Marina;
SGAMBATO Camilla;
TACCONI Alessio;
TARANTO Luigi;
TARICCO Giacomino;
TARTAGLIONE Assunta;
TENTORI Veronica;
TERROSI Alessandra;
TIDEI Marietta;
TINAGLI Irene;
TULLO Mario;
